# Package: APBGame
#
# Runtime source: live UPackage::NetObjects @ +0x80
# UObject::NetIndex @ +0x24; validated by NetObjects[index] == UObject*
# GlobalNetIndex = Package.ObjectBase + local index
#
# generated 2026-09-03T22:23:19+03:00
# ObjectBase=33506 ObjectCount=30964 NetObjects.Num=30964 CurrentNumNetObjects=29145 nonNull=29145 mismatches=0
# GenerationNetObjectCount=[30964, 30964]
#
# calibration against direct runtime knowledge:
#   APBGame.cAPBPlayerController expected=12772 actual=12772 OK
#   APBGame.Default__cAPBPlayerController expected=12773 actual=12773 OK
#   APBGame.cAPBVehicle expected=13637 actual=13637 OK
#
# index	name

883	ForceRebuild
884	bDoubleSizeDiffuse
885	PackageName
886	BakeGolemobileToPackage
887	ReturnValue
888	RetVehicleTextureBaker
889	APBStudioVehicle
890	Default__APBStudioVehicle
891	m_afLODDistances
892	m_afLODDistances
893	StaticMeshDLODComponent
894	Default__StaticMeshDLODComponent
895	StaticMeshDLODActor
896	Default__StaticMeshDLODActor
897	StaticMeshDLODComponent0
898	m_nNumFeatures
899	m_FeatureMaterialInstance
900	m_bEmissiveLookupCreated
901	m_EmissiveLookupTexture
902	fLevel
903	nIndex
904	SetFeatureEmissive
905	BuildingActor
906	Default__BuildingActor
907	m_bFinished
908	cBaseState
909	Default__cBaseState
910	NPCBRAIN_REPLICATE_CANCEL_REACTION_OFFS
911	m_pRandomGenerator
912	m_fLookAtCooldownTime
913	m_fLastLookAtTime
914	m_pDestroyNode
